frame,tipo,outro
950,collision,static.static
951,collision,static.static
952,collision,static.static
953,collision,static.static
954,collision,static.static
955,collision,static.static
956,collision,static.static
957,collision,static.static
958,collision,static.static
959,collision,static.static
960,collision,static.static
961,collision,static.static
962,collision,static.static
963,collision,static.static
964,collision,static.static
965,collision,static.static
966,collision,static.static
967,collision,static.static
968,collision,static.static
969,collision,static.static
970,collision,static.static
971,collision,static.static
972,collision,static.static
973,collision,static.static
974,collision,static.static
975,collision,static.static
976,collision,static.static
977,collision,static.static
978,collision,static.static
979,collision,static.static
980,collision,static.static
981,collision,static.static
982,collision,static.static
983,collision,static.static
984,collision,static.static
985,collision,static.static
986,collision,static.static
987,collision,static.static
988,collision,static.static
989,collision,static.static
990,collision,static.static
991,collision,static.static
992,collision,static.static
993,collision,static.static
994,collision,static.static
995,collision,static.static
996,collision,static.static
997,collision,static.static
998,collision,static.static
999,collision,static.static
1000,collision,static.static
1001,collision,static.static
1002,collision,static.static
1003,collision,static.static
1004,collision,static.static
1005,collision,static.static
1006,collision,static.static
1007,collision,static.static
1008,collision,static.static
1009,collision,static.static
1010,collision,static.static
1011,collision,static.static
1012,collision,static.static
1013,collision,static.static
1014,collision,static.static
1015,collision,static.static
1016,collision,static.static
1017,collision,static.static
1018,collision,static.static
1019,collision,static.static
1020,collision,static.static
1021,collision,static.static
1022,collision,static.static
1023,collision,static.static
1024,collision,static.static
1025,collision,static.static
1026,collision,static.static
1027,collision,static.static
1028,collision,static.static
1029,collision,static.static
1030,collision,static.static
1031,collision,static.static
1032,collision,static.static
1033,collision,static.static
1034,collision,static.static
1035,collision,static.static
1036,collision,static.static
1037,collision,static.static
1038,collision,static.static
1039,collision,static.static
1040,collision,static.static
1041,collision,static.static
1042,collision,static.static
1043,collision,static.static
1044,collision,static.static
1045,collision,static.static
1046,collision,static.static
1047,collision,static.static
1048,collision,static.static
1049,collision,static.static
1050,collision,static.static
1051,collision,static.static
1052,collision,static.static
1053,collision,static.static
1054,collision,static.static
1055,collision,static.static
1056,collision,static.static
1057,collision,static.static
1058,collision,static.static
1059,collision,static.static
1060,collision,static.static
1061,collision,static.static
1062,collision,static.static
1063,collision,static.static
1064,collision,static.static
1065,collision,static.static
1066,collision,static.static
1067,collision,static.static
1068,collision,static.static
1069,collision,static.static
1070,collision,static.static
1071,collision,static.static
1072,collision,static.static
1073,collision,static.static
1074,collision,static.static
1075,collision,static.static
1076,collision,static.static
1077,collision,static.static
1078,collision,static.static
1079,collision,static.static
1080,collision,static.static
1081,collision,static.static
1082,collision,static.static
1083,collision,static.static
1084,collision,static.static
1085,collision,static.static
1086,collision,static.static
1087,collision,static.static
1088,collision,static.static
1089,collision,static.static
1090,collision,static.static
1091,collision,static.static
1092,collision,static.static
1093,collision,static.static
1094,collision,static.static
1095,collision,static.static
1096,collision,static.static
1097,collision,static.static
1098,collision,static.static
1099,collision,static.static
1100,collision,static.static
1101,collision,static.static
1102,collision,static.static
1103,collision,static.static
1104,collision,static.static
1105,collision,static.static
1106,collision,static.static
1107,collision,static.static
1108,collision,static.static
1109,collision,static.static
1110,collision,static.static
1111,collision,static.static
1112,collision,static.static
1113,collision,static.static
1114,collision,static.static
1115,collision,static.static
1116,collision,static.static
1117,collision,static.static
1118,collision,static.static
1119,collision,static.static
1120,collision,static.static
1121,collision,static.static
1122,collision,static.static
1123,collision,static.static
1124,collision,static.static
1125,collision,static.static
1126,collision,static.static
1127,collision,static.static
1128,collision,static.static
1129,collision,static.static
1130,collision,static.static
1131,collision,static.static
1132,collision,static.static
1133,collision,static.static
1134,collision,static.static
1135,collision,static.static
1136,collision,static.static
1137,collision,static.static
1138,collision,static.static
1139,collision,static.static
1140,collision,static.static
1141,collision,static.static
1142,collision,static.static
1143,collision,static.static
1144,collision,static.static
1145,collision,static.static
1146,collision,static.static
1147,collision,static.static
1148,collision,static.static
1149,collision,static.static
1150,collision,static.static
1151,collision,static.static
1152,collision,static.static
1153,collision,static.static
1154,collision,static.static
1155,collision,static.static
1156,collision,static.static
1157,collision,static.static
1158,collision,static.static
1159,collision,static.static
1160,collision,static.static
1161,collision,static.static
1162,collision,static.static
1163,collision,static.static
1164,collision,static.static
1165,collision,static.static
1166,collision,static.static
1167,collision,static.static
1168,collision,static.static
1169,collision,static.static
1170,collision,static.static
1171,collision,static.static
1172,collision,static.static
1173,collision,static.static
1174,collision,static.static
1175,collision,static.static
1176,collision,static.static
1177,collision,static.static
1178,collision,static.static
1179,collision,static.static
1180,collision,static.static
1181,collision,static.static
1182,collision,static.static
1183,collision,static.static
1184,collision,static.static
1185,collision,static.static
1186,collision,static.static
1187,collision,static.static
1188,collision,static.static
1189,collision,static.static
1190,collision,static.static
1191,collision,static.static
1192,collision,static.static
1193,collision,static.static
1194,collision,static.static
1195,collision,static.static
1196,collision,static.static
1197,collision,static.static
1198,collision,static.static
1199,collision,static.static
1200,collision,static.static
1201,collision,static.static
1202,collision,static.static
1203,collision,static.static
1204,collision,static.static
1205,collision,static.static
1206,collision,static.static
1207,collision,static.static
1208,collision,static.static
1209,collision,static.static
1210,collision,static.static
1211,collision,static.static
1212,collision,static.static
1213,collision,static.static
1214,collision,static.static
1215,collision,static.static
1216,collision,static.static
1217,collision,static.static
1218,collision,static.static
1219,collision,static.static
1220,collision,static.static
1221,collision,static.static
1222,collision,static.static
1223,collision,static.static
1224,collision,static.static
1225,collision,static.static
1226,collision,static.static
1227,collision,static.static
1228,collision,static.static
1229,collision,static.static
1230,collision,static.static
1231,collision,static.static
1232,collision,static.static
1233,collision,static.static
1234,collision,static.static
1235,collision,static.static
1236,collision,static.static
1237,collision,static.static
1238,collision,static.static
1239,collision,static.static
1240,collision,static.static
1241,collision,static.static
1242,collision,static.static
1243,collision,static.static
1244,collision,static.static
1245,collision,static.static
1246,collision,static.static
1247,collision,static.static
1248,collision,static.static
1249,collision,static.static
1250,collision,static.static
1251,collision,static.static
1252,collision,static.static
